location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Gorham, ME",Fox House,1851,Granville Fernald,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason, NH",Jonathan Batchelder House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesterville, ME",Lyman Whittier House,1834,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmington, ME",Gerald York House,1835,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Parsonfield, ME",Helen Cating House,1830,Jonathan D. Poor and Paine,mural,tradition,T,,,T,,T,,,,,,,,T,,,T,,,,,,,T,,T,,,T,,,,T,,,
"North Parsonfield, ME",Dr. William Reid House,1830,Jonathan D. Poor and Paine,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenfield, NH",James T. Garvin House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenfield, NH",Eliot Hutchinson House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Ipswich, NH",Gould-Chickering House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedford, MA",Penniman-Stearns House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
"Billerica, MA",Donald Schult House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billerica, MA",Lyons House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billerica, MA",Manning Manse,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groveland, MA",Spofford House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groveland, MA",Edna Worthing Cottage,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
