location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats,lon,lat
"Hancock, NH",Josiah Stone House,1825,Porter School,mural,Lipman,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,-71.9798565,42.9732129
"Winthrop, ME",Captain Samuel Benjamin House,1830,Porter School,mural,MSM,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,-69.9769721,44.3050332
"Lyme, NH",Frederick Wagner House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1559219,43.8095142
"Hollis Center, ME",Quillcote,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,-70.62089739999999,43.6346754
"North Parsonfield, ME",Curtis M. Sweat House,1830,Jonathan D. Poor and Paine,mural,signed,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,-70.9225644,43.7572986
"East Weymouth, MA",Senigo House,1845,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.94103559999999,42.2180724
"Langdon, NH",Bidwell Tavern,1824,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.3795322,43.1670215
"New Ipswich, NH",Gardner Davis House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8808499,42.7362307
"West Auburn, ME",Otis B. Tibbets House,1830,Orison Wood,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.2808888,44.15673839999999
"Wakefield, MA",Winn House,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0723391,42.5039395
"Sturbridge, MA",Oliver Wight House,1830,Porter School,mural,OSV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0787059,42.1084122
"Westwood, MA",Dr. Francis Howe House,1838,Rufus Porter and Stephen Twombly Porter,mural,signed,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,-71.2244987,42.21398730000001
"Temple, NH",Birchwood Inn,1830,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8513418,42.8188308
"Vienna, ME",Jacob Johnson House,1832,Jonathan D. Poor,mural,signed,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,-69.9847779,44.5333976
"Winthrop, ME",Captain Solomon Stanley House,1830,Porter School,mural,Lefko,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,-69.9769721,44.3050332
"Pepperell, MA",John Durant House,1830,Jonathan D. Poor,mural,Lefko,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,-71.5884363,42.66592319999999
"Bath, NH",Bartlett House,1830,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,-71.96620089999999,44.1670079
"Mercer, ME",Walton Homestead,1830,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.93644619999999,44.6781171
