town,state,year,subject,creator,type,attribution,image,fig_num
Westwood,MA,1838,Dr. Francis Howe House,Rufus Porter and Stephen Twombly Porter,mural,signed,"""images/francis-howe.jpeg""","81-84, color plate 16"
Woburn,MA,1835,Shaker Glenn Inn,Porter School,mural,signed,,
Chesterville,ME,1834,Professor Diller House,Jonathan D. Poor,mural,signed,,
Chesterville,ME,1834,Fuller Dyke House,Jonathan D. Poor,mural,signed,,
East Baldwin,ME,1840,Lorenzo Norton House,Jonathan D. Poor,mural,signed,"""images/norton-JDP.png""",
North Parsonfield,ME,1830,Curtis M. Sweat House,Jonathan D. Poor and Paine,mural,signed,,"color plate 19, color plate 20"
Parsonfield,ME,1830,Chillis House,Jonathan D. Poor,mural,signed,"""images/chellis-JDP.png""",
Readfield,ME,1835,Judge Bean House,Jonathan D. Poor,mural,signed,"""images/judge-bean-JDP.png""",
Winthrop,ME,1830,Frank Hanson House,E.V. Bennett,mural,signed,,
Winthrop,ME,1830,Knowlton House,E.J. Gilbert,mural,signed,,100
Plainville,CT,1835,Julia Lottie Hills,Rufus Porter,portrait,signed,,NA
Westwood,MA,1838,E.A. West House,Rufus Porter and Stephen Twombly Porter,mural,tradition,,"78, 79"
Westwood,MA,1838,Storer Ware House,Rufus Porter and Stephen Twombly Porter,mural,tradition,,
Bethel,ME,1835,Dr. Moses Mason House,Jonathan D. Poor,mural,tradition,,color plate 18
Chesterville,ME,1834,Captain Thomas Williams House,Jonathan D. Poor,mural,tradition,,
Chesterville,ME,1834,Lyman Whittier House,Jonathan D. Poor,mural,tradition,,
Chesterville,ME,1834,Thomas Austin House,Jonathan D. Poor,mural,tradition,,
Cornish,ME,1830,Thompkins House,Porter School,mural,tradition,,
Fairbanks,ME,1835,Milton Gay House,Jonathan D. Poor and Paine,mural,tradition,,97
Fairbanks,ME,1835,Gerald York House,Jonathan D. Poor,mural,tradition,,
Fairbanks,ME,1835,Benjamin Stanley House,Jonathan D. Poor,mural,tradition,,
Fairbanks,ME,1835,David E. Currier House,Jonathan D. Poor,mural,tradition,,
Farmington,ME,1830,Jonathan Cushman House,Jonathan D. Poor and Paine,mural,tradition,,
Farmington,ME,1830,William Gilman House,Jonathan D. Poor and Paine,mural,tradition,,
