subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Squire Craigin House,Greenfield,NH,1825,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Greenfield, NH","<b>Squire Craigin House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,42.9481898130528,-71.8706698746531,"c(42.9481898130528, -71.8706698746531)"
James T. Garvin House,Greenfield,NH,1825,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b>James T. Garvin House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.9517648506941,-71.8807417991667,"c(42.9517648506941, -71.8807417991667)"
Eliot Hutchinson House,Greenfield,NH,1825,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b>Eliot Hutchinson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.9529047857371,-71.8809945792366,"c(42.9529047857371, -71.8809945792366)"
Patricia Holsaert House,Hancock,NH,1825,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"Hancock, NH","<b>Patricia Holsaert House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,42.9725420743229,-71.9822600115022,"c(42.9725420743229, -71.9822600115022)"
Cynthia Porter Weston House,Hancock,NH,1825,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b>Cynthia Porter Weston House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.9721787267787,-71.9786724739884,"c(42.9721787267787, -71.9786724739884)"
John Hancock Inn,Hancock,NH,1825,Porter School,mural,Lipman,https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1,"""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamiltoon","Hancock, NH","<b>John Hancock Inn</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1', width = '200'><br><small>Image from ""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamiltoon</small>",school,school,42.9731013252439,-71.977089333738,"c(42.9731013252439, -71.977089333738)"
Grace D. Wilson-Lavery House,Haverhill,NH,1825,Porter School,mural,Lipman,NA,NA,"Haverhill, NH","<b>Grace D. Wilson-Lavery House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,44.0354654177585,-72.0729915339887,"c(44.0354654177585, -72.0729915339887)"
Frederick Wagner House,Lyme,NH,1825,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b>Frederick Wagner House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.8106973849122,-72.1459565963226,"c(43.8106973849122, -72.1459565963226)"
Dennis House,Lyme,NH,1825,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b>Dennis House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.8110839361029,-72.1442350362153,"c(43.8110839361029, -72.1442350362153)"
Perkins-Simmons House,Lyme,NH,1825,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b>Perkins-Simmons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.8095015216328,-72.1581060678361,"c(43.8095015216328, -72.1581060678361)"
