subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Judith Carter,Hopkinton,MA,1820,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b>Judith Carter</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.2318068243007,-71.5184646471816,"c(42.2318068243007, -71.5184646471816)"
Timothy Carter,Hopkinton,MA,1820,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b>Timothy Carter</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.2298026395875,-71.519275517993,"c(42.2298026395875, -71.519275517993)"
Mrs. Cooper,Cooperstown,NY,1820,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b>Mrs. Cooper</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.7041579934818,-74.9150180749558,"c(42.7041579934818, -74.9150180749558)"
Mr. Cooper,Cooperstown,NY,1820,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b>Mr. Cooper</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.69926905526,-74.9252177662372,"c(42.69926905526, -74.9252177662372)"
Nathan Peabody Ames,Chelmsford,MA,1825,Rufus Porter,portrait,RPM,NA,NA,"Chelmsford, MA","<b>Nathan Peabody Ames</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.5966970649318,-71.3704154703281,"c(42.5966970649318, -71.3704154703281)"
Dalton House,Parsonfield,ME,1830,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Parsonfield, ME","<b>Dalton House</b><br>Signed by Jonathan D. Poor<br>Circa 1830<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,43.7255685647187,-70.9254733111583,"c(43.7255685647187, -70.9254733111583)"
Chillis House,Parsonfield,ME,1830,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-14_-16---Morison-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Parsonfield, ME","<b>Chillis House</b><br>Signed by Jonathan D. Poor<br>Circa 1830<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-14_-16---Morison-signature.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,43.727346635456,-70.9365002677379,"c(43.727346635456, -70.9365002677379)"
Frank Hanson House,Winthrop,ME,1830,E.V. Bennett,mural,signed,NA,NA,"Winthrop, ME","<b>Frank Hanson House</b><br>Signed by E.V. Bennett<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.3087960732118,-69.9774904101548,"c(44.3087960732118, -69.9774904101548)"
Knowlton House,Winthrop,ME,1830,E.J. Gilbert,mural,signed,NA,NA,"Winthrop, ME","<b>Knowlton House</b><br>Signed by E.J. Gilbert<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.30701250609,-69.9661933289903,"c(44.30701250609, -69.9661933289903)"
Professor Diller House,Chesterville,ME,1834,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b>Professor Diller House</b><br>Signed by Jonathan D. Poor<br>Circa 1834<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5470789313892,-70.0729827124081,"c(44.5470789313892, -70.0729827124081)"
Fuller Dyke House,Chesterville,ME,1834,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b>Fuller Dyke House</b><br>Signed by Jonathan D. Poor<br>Circa 1834<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5546180969214,-70.0846117504469,"c(44.5546180969214, -70.0846117504469)"
Donald L. Priest House,Groton,MA,1835,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Groton, MA","<b>Donald L. Priest House</b><br>Signed by Jonathan D. Poor<br>Circa 1835<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-10_-%282.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,42.608471821034,-71.5881602956094,"c(42.608471821034, -71.5881602956094)"
Emerson House,Wakefield,MA,1835,Rufus Porter,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-1_-%281.5-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Wakefield, MA","<b>Emerson House</b><br>Signed by Rufus Porter<br>Circa 1835<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-1_-%281.5-pg.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",rp_mural,RP,42.500908454079,-71.0656684924018,"c(42.500908454079, -71.0656684924018)"
Shaker Glenn Inn,Woburn,MA,1835,Porter School,mural,signed,NA,NA,"Woburn, MA","<b>Shaker Glenn Inn</b><br>Signed by Porter School<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4802014863432,-71.1452403709137,"c(42.4802014863432, -71.1452403709137)"
Burbank House,Mt. Vernon,ME,1835,Jonathan D. Poor,mural,tradition,http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Mt. Vernon, ME","<b>Burbank House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,44.4992868275331,-69.9748004081395,"c(44.4992868275331, -69.9748004081395)"
Judge Bean House,Readfield,ME,1835,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Readfield, ME","<b>Judge Bean House</b><br>Signed by Jonathan D. Poor<br>Circa 1835<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,44.3888714476336,-69.9702200438382,"c(44.3888714476336, -69.9702200438382)"
Dr. Francis Howe House,Westwood,MA,1838,Rufus Porter and Stephen Twombly Porter,mural,signed,https://upload.wikimedia.org/wikipedia/en/e/e1/Wall_mural_by_Rufus_Porter.jpg,Wikimedia Commons,"Westwood, MA","<b>Dr. Francis Howe House</b><br>Signed by Rufus Porter and Stephen Twombly Porter<br>Circa 1838<br><img src='https://upload.wikimedia.org/wikipedia/en/e/e1/Wall_mural_by_Rufus_Porter.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",rp_mural,RP,42.2159665662358,-71.2235709549699,"c(42.2159665662358, -71.2235709549699)"
Unidentified House,Turner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.2555336037728,-70.2601604196918,"c(44.2555336037728, -70.2601604196918)"
Unidentified House,West Mt. Vernon,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.4548297708007,-70.0159663113431,"c(44.4548297708007, -70.0159663113431)"
Unidentified House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.531828388680204,-69.9744702592235,"c(44.5318283886802, -69.9744702592235)"
Julia Lottie Hills,Plainville,CT,1835,Rufus Porter,portrait,signed,NA,NA,"Plainville, CT","<b>Julia Lottie Hills</b><br>Signed by Rufus Porter<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,41.6789514828976,-72.8645773127017,"c(41.6789514828976, -72.8645773127017)"
Joshua Eaton House,Bradford,NH,1824,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vQ4TzQOcGCe3R4Uz3SBXMw5OrUVBW1FI7a0yUTKviTCTo7TdenzBIXx6qRSaX_2z4z3Zsluf4YE6fjT/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"Bradford, NH","<b>Joshua Eaton House</b><br>Traditionally attributed to Rufus Porter and Moses Eaton, Jr.<br>Circa 1824<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ4TzQOcGCe3R4Uz3SBXMw5OrUVBW1FI7a0yUTKviTCTo7TdenzBIXx6qRSaX_2z4z3Zsluf4YE6fjT/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",rp_mural,RP,43.2708205505484,-71.94905722048,"c(43.2708205505484, -71.94905722048)"
Thompkins House,Cornish,ME,1830,Porter School,mural,tradition,NA,NA,"Cornish, ME","<b>Thompkins House</b><br>Traditionally attributed to Porter School<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.8083916877162,-70.8118738030612,"c(43.8083916877162, -70.8118738030612)"
Jonathan Cushman House,Farmington,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b>Jonathan Cushman House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.668906926402,-70.1469811221662,"c(44.668906926402, -70.1469811221662)"
William Gilman House,Farmington,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b>William Gilman House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.673233144175,-70.1608603256894,"c(44.673233144175, -70.1608603256894)"
David Ingham House,Farmington,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b>David Ingham House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6695335609661,-70.1647678423054,"c(44.6695335609661, -70.1647678423054)"
Dyer/Currier House,Farmington,ME,1830,Jonathan D. Poor and Paine,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vRwzbRw-1fqWCb5qUEnt0vg0TYndXPdFxr6RzzGw9CNian-_XlJDwCyjF9nJeTNs7R-9I0B2IIMviiN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Farmington, ME","<b>Dyer/Currier House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRwzbRw-1fqWCb5qUEnt0vg0TYndXPdFxr6RzzGw9CNian-_XlJDwCyjF9nJeTNs7R-9I0B2IIMviiN/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.6703504708106,-70.143388879125,"c(44.6703504708106, -70.143388879125)"
Robert C. Bruce House,New Sharon,ME,1840,Jonathan D. Poor,mural,tradition,NA,NA,"New Sharon, ME","<b>Robert C. Bruce House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1840<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6391508441207,-70.0186117269037,"c(44.6391508441207, -70.0186117269037)"
Russ House,Farmington Falls,ME,1830,Jonathan D. Poor and Paine,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vQqoq1_4UdVpcXhx7vjzqCgPojkob3QS8eDrhIiPEQuoJpHU-RNpvc5wXi-Iqm8QDCCqdlgWMx5gKu0/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Farmington Falls, ME","<b>Russ House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQqoq1_4UdVpcXhx7vjzqCgPojkob3QS8eDrhIiPEQuoJpHU-RNpvc5wXi-Iqm8QDCCqdlgWMx5gKu0/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.6221826912,-70.0728556541963,"c(44.6221826912, -70.0728556541963)"
McDonald Inn,Limerick,ME,1830,Paine,mural,tradition,NA,NA,"Limerick, ME","<b>McDonald Inn</b><br>Traditionally attributed to Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,43.6876062896009,-70.7951720974947,"c(43.6876062896009, -70.7951720974947)"
Furlong House,Limerick,ME,1830,Paine,mural,tradition,NA,NA,"Limerick, ME","<b>Furlong House</b><br>Traditionally attributed to Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,43.6877048277045,-70.7967591167722,"c(43.6877048277045, -70.7967591167722)"
Frank Chapman House,North Parsonfield,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b>Frank Chapman House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,43.7560552604173,-70.930960017254307,"c(43.7560552604173, -70.9309600172543)"
Helen Cating House,North Parsonfield,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b>Helen Cating House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,43.7581945566091,-70.9154282115314,"c(43.7581945566091, -70.9154282115314)"
Dr. William Reid House,North Parsonfield,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b>Dr. William Reid House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,43.7607722747426,-70.9138866209913,"c(43.7607722747426, -70.9138866209913)"
Warren Pederson House,Standish,ME,1830,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","Standish, ME","<b>Warren Pederson House</b><br>Signed by Jonathan D. Poor<br>Circa 1830<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",jdp,JDP,43.7395704797251,-70.5582185128208,"c(43.7395704797251, -70.5582185128208)"
Barbara E. Parker House,Standish,ME,1830,Paine,mural,tradition,NA,NA,"Standish, ME","<b>Barbara E. Parker House</b><br>Traditionally attributed to Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,43.7346170483178,-70.5495728973157,"c(43.7346170483178, -70.5495728973157)"
Nathaniel Whittier House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Nathaniel Whittier House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.537471872549,-69.994979245338,"c(44.537471872549, -69.994979245338)"
Gilman Batchelder House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Gilman Batchelder House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.536319953491,-69.9912223959391,"c(44.536319953491, -69.9912223959391)"
Unidentified House,Turner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.2572223857931,-70.2497494199251,"c(44.2572223857931, -70.2497494199251)"
Unidentified House,West Mt. Vernon,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.4556497903638,-70.0278388985041,"c(44.4556497903638, -70.0278388985041)"
Unidentified House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5370052067791,-69.9765056303878,"c(44.5370052067791, -69.9765056303878)"
Captain Thomas Williams House,Chesterville,ME,1834,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b>Captain Thomas Williams House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1834<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5488971500021,-70.074048699484507,"c(44.5488971500021, -70.0740486994845)"
Lyman Whittier House,Chesterville,ME,1834,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b>Lyman Whittier House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1834<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5534192897299,-70.0931595486782,"c(44.5534192897299, -70.0931595486782)"
Thomas Austin House,Chesterville,ME,1834,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b>Thomas Austin House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1834<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5493221207414,-70.0874133517556,"c(44.5493221207414, -70.0874133517556)"
Dr. Moses Mason House,Bethel,ME,1835,Jonathan D. Poor,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vTUjAezgA8_4fGT5N09kIXxLcP6iYVlk5I6fNqfFDp-B3ynnDlmlSjdqAs2WXjZF2fBvNXjUSSD6zvt/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Bethel, ME","<b>Dr. Moses Mason House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTUjAezgA8_4fGT5N09kIXxLcP6iYVlk5I6fNqfFDp-B3ynnDlmlSjdqAs2WXjZF2fBvNXjUSSD6zvt/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.4066612450041,-70.7969679741283,"c(44.4066612450041, -70.7969679741283)"
Milton Gay House,Farmington,ME,1835,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b>Milton Gay House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6667181327605,-70.1450279020166,"c(44.6667181327605, -70.1450279020166)"
Gerald York House,Farmington,ME,1835,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b>Gerald York House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6690503074616,-70.1432220103784,"c(44.6690503074616, -70.1432220103784)"
Benjamin Stanley House,Farmington,ME,1835,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b>Benjamin Stanley House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6664096394135,-70.138284894405,"c(44.6664096394135, -70.138284894405)"
David E. Currier House,Farmington,ME,1835,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b>David E. Currier House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6694407445287,-70.1582912735143,"c(44.6694407445287, -70.1582912735143)"
Lieutenant John Lovejoy House,Fayette,ME,1835,Jonathan D. Poor,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vSOnPJM4b6VTZ5j_iBlIDxoFzPLSmJORq0ixDYGOjotO5QRwjjzgxdGK8yBSSqZQrPcL0jxux9NkNzp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Fayette, ME","<b>Lieutenant John Lovejoy House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSOnPJM4b6VTZ5j_iBlIDxoFzPLSmJORq0ixDYGOjotO5QRwjjzgxdGK8yBSSqZQrPcL0jxux9NkNzp/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.4089813420497,-70.0456049913021,"c(44.4089813420497, -70.0456049913021)"
Arthur Gordon House,Mt. Vernon,ME,1835,Jonathan D. Poor,mural,tradition,NA,NA,"Mt. Vernon, ME","<b>Arthur Gordon House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5012375697849,-69.9887052155508,"c(44.5012375697849, -69.9887052155508)"
Captain Dudley Haines House,Readfield,ME,1835,Jonathan D. Poor,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vSOj7KMEzu3x88kkAt86iv17myL1qX7SOhu6NcG98CwLWTutEz-fUUE7BikxxTScyQlgpr3TK0e0tLj/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Readfield, ME","<b>Captain Dudley Haines House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSOj7KMEzu3x88kkAt86iv17myL1qX7SOhu6NcG98CwLWTutEz-fUUE7BikxxTScyQlgpr3TK0e0tLj/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.3850207038324,-69.9789354916153,"c(44.3850207038324, -69.9789354916153)"
William McCleary House,Strong,ME,1835,Jonathan D. Poor,mural,tradition,https://docs.google.com/drawings/d/e/2PACX-1vQXExVVL0CCfNq81bDBvgGUTfsAtdkRD9qA2sNLoVCk-dXfCv4SDci-mxy_swgflFD0UlcvfcNnFA1c/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Strong, ME","<b>William McCleary House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQXExVVL0CCfNq81bDBvgGUTfsAtdkRD9qA2sNLoVCk-dXfCv4SDci-mxy_swgflFD0UlcvfcNnFA1c/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.8098234187739,-70.2113272678794,"c(44.8098234187739, -70.2113272678794)"
E.A. West House,Westwood,MA,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,https://www.themagazineantiques.com/wp-content/uploads/2020/01/IMG_0011c.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","Westwood, MA","<b>E.A. West House</b><br>Traditionally attributed to Rufus Porter and Stephen Twombly Porter<br>Circa 1838<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/IMG_0011c.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",rp_mural,RP,42.2138920490288,-71.2208368387199,"c(42.2138920490288, -71.2208368387199)"
Storer Ware House,Westwood,MA,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,NA,"Westwood, MA","<b>Storer Ware House</b><br>Traditionally attributed to Rufus Porter and Stephen Twombly Porter<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",rp_mural,RP,42.2169248813302,-71.2221563734271,"c(42.2169248813302, -71.2221563734271)"
Robert C. Bruce House,Farmington,ME,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b>Robert C. Bruce House</b><br>Traditionally attributed to Jonathan D. Poor and Paine<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6741172974582,-70.1571764996175,"c(44.6741172974582, -70.1571764996175)"
Robert C. Bruce House,New Sharon,ME,1840,Jonathan D. Poor,mural,tradition,NA,NA,"New Sharon, ME","<b>Robert C. Bruce House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1840<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.6430129621258,-70.0094398140861,"c(44.6430129621258, -70.0094398140861)"
William A. Potter House,Harvard,MA,1830,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSQtXJCslXi8J2Vm38lPXoClxevLVtR3t9p4B3f5qswvytUOVFRsyIdX_vKdrNnsP-VL5yH9h0uQnzp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Harvard, MA","<b>William A. Potter House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSQtXJCslXi8J2Vm38lPXoClxevLVtR3t9p4B3f5qswvytUOVFRsyIdX_vKdrNnsP-VL5yH9h0uQnzp/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,42.4980393363649,-71.5739250724946,"c(42.4980393363649, -71.5739250724946)"
