town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,lng,lat,icon,choice
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Reuben Guild House",-71.2329202347572,42.2075936345995,rp_mural,RP
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Allen House",-71.2159132321881,42.2042752684172,rp_mural,RP
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,NA,"Bridgton, ME","<b> Bridgton, ME </b> <br> Porter School <br> Deacon Libby House",-70.7210131578093,44.0525629445428,school,school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b> Bryant Pond, ME </b> <br> Jonathan D. Poor <br> Whitman Homestead",-70.5935967931548,44.3902269557014,jdp,JDP
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> Carroll Rounds House",-70.5112976798945,43.6441937633012,school,school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> A.I. Poulsen House",-70.5118850547782,43.6354915716993,school,school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,"color plate 14, color plate 15","Fryeburg, ME","<b> Fryeburg, ME </b> <br> Rufus Porter and Jonathan D. Poor <br> Barrows Homestead",-70.9901221366609,44.0273015363241,rp_mural,RP
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,NA,"Fryeburg, ME","<b> Fryeburg, ME </b> <br> Porter School <br> Warren-Towle House",-70.990544447444,44.0118214292763,school,school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Porter School <br> Dr. Files House",-70.4395794580926,43.6827235125318,school,school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Granville Fernald <br> Fox House",-70.4435082342384,43.6805200695318,other,other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,"70, 71","Hollis Center, ME","<b> Hollis Center, ME </b> <br> Porter School <br> Quillcote",-70.6299459881723,43.6466608295619,school,school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> H.O. Wood House",-70.2121273028868,44.1132491652479,other,other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> Howard W. Mann House",-70.2235496315009,44.1084279000978,other,other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b> Monmouth, ME </b> <br> Porter School <br> Simon Martson House",-70.0356347143649,44.2287187612184,school,school
Parsonfield,ME,1830,Dalton House,Paine,mural,Lipman,NA,NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Paine <br> Dalton House",-70.9380002937294,43.740127768514,other,other
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Deacon John Bailey House",-70.2546912503278,43.6558979603438,school,school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Ellis Place",-70.2632851046449,43.666669034656,school,school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,NA,"Rumford, ME","<b> Rumford, ME </b> <br> Jonathan D. Poor <br> Phil Baker House",-70.5556226214923,44.5486575972659,jdp,JDP
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,"61, 62","Sebec, ME","<b> Sebec, ME </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Ellerton Jette House",-69.1242831333021,45.2801401439667,rp_mural,RP
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b> South Bridgton, ME </b> <br> Porter School <br> Ingalls House",-70.7012044481902,43.9785798235008,school,school
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Captain Leavitt House",-70.2609646852245,44.2653140005615,other,other
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Unidentified House",-70.2554798618129,44.262183157917,other,other
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,NA,93,"Webster Corner, ME","<b> Webster Corner, ME </b> <br> Orison Wood <br> Cushman Tavern",-70.0838671579332,44.0472462210736,other,other
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b> West Auburn, ME </b> <br> Orison Wood <br> Otis B. Tibbets House",-70.2801544055149,44.1639754128926,other,other
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Leon H. Marr House",-70.0080577118076,44.4555177105353,jdp,JDP
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Unidentified House",-70.0055679289179,44.4564533235656,jdp,JDP
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Porter School <br> Zebulon Trickey House",-70.3788147134502,43.6854214585392,school,school
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Granville Fernald <br> Pride House",-70.3631263558382,43.6828579833422,other,other
Dover,NH,1825,Neighborhood House,Porter School,mural,Lipman,NA,NA,"Dover, NH","<b> Dover, NH </b> <br> Porter School <br> Neighborhood House",-70.8648476394393,43.2099321697381,school,school
East Jaffrey,NH,1824,Prescott Tavern,Porter School,mural,Lipman,"""images/RP_JaffreyNH.jpg""","55, 56, color plate 1, color plate 2","East Jaffrey, NH","<b> East Jaffrey, NH </b> <br> Porter School <br> Prescott Tavern",-72.0215386314348,42.822910506115,school,school
East Jaffrey,NH,1824,Don Pierce House,Porter School,mural,Lipman,NA,NA,"East Jaffrey, NH","<b> East Jaffrey, NH </b> <br> Porter School <br> Don Pierce House",-72.0182623651433,42.8206120597922,school,school
Greenfield,NH,1825,Squire Craigin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> Squire Craigin House",-71.8785739151811,42.96115891427,school,school
Greenfield,NH,1825,James T. Garvin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> James T. Garvin House",-71.8695333880419,42.9442020842586,school,school
Greenfield,NH,1825,Eliot Hutchinson House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> Eliot Hutchinson House",-71.8775498165901,42.9371783236748,school,school
Hancock,NH,1824,Miss Mary and Dr. Fredrika Moore House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Miss Mary and Dr. Fredrika Moore House",-71.9836004950035,42.9743728055707,school,school
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,NA,"color plate 6, color plate 7","Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Patricia Holsaert House",-71.9831348597659,42.9628470298652,school,school
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Cynthia Porter Weston House",-71.9784821909044,42.9857285963367,school,school
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> John Hancock Inn",-71.9852953575416,42.9838155045513,school,school
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,NA,NA,"Haverhill, NH","<b> Haverhill, NH </b> <br> Porter School <br> Grace D. Wilson-Lavery House",-72.0662710968609,44.0370550580297,school,school
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,NA,"63, 64","Langdon, NH","<b> Langdon, NH </b> <br> Porter School <br> Bidwell Tavern",-72.3796077100172,43.1692140537461,school,school
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,NA,"45, 69","Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Frederick Wagner House",-72.1592573940641,43.7971032001422,school,school
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Dennis House",-72.1592426743554,43.8221533181095,school,school
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Perkins-Simmons House",-72.1579555120718,43.8006761044808,school,school
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Kent-Mativia House",-72.15595402968,43.8095276031069,school,school
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Asher Tarbell House",-71.776482838121,42.7295174700153,school,school
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Jonathan Batchelder House",-71.7752656000016,42.756766614325,school,school
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Joseph Saunders House",-71.7696379637883,42.7360996996587,school,school
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Solomon Russell House",-71.8821610682755,42.7287502461818,school,school
