town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> R. Raynond Warren Apartments","c(-71.5872644673154, 42.5089341530215)",school
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Wallace F. Bryant Estate Apartments (Whitney house)","c(-71.5774191450168, 42.4995260557019)",school
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Porter School <br> Joshua Simons House","c(-71.2240159570349, 42.4345079870539)",school
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,NA,76,"Lunenburg, MA","<b> Lunenburg, MA </b> <br> Porter School <br> Faith Gardner House","c(-71.7333905896956, 42.5944568725832)",school
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,NA,NA,"Merrimac, MA","<b> Merrimac, MA </b> <br> Porter School <br> Sargent House","c(-70.9985628139432, 42.8445542250777)",school
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,NA,NA,"Merrimacport, MA","<b> Merrimacport, MA </b> <br> Porter School <br> Ronald Shaw HOuse","c(-70.9817698417726, 42.8253224285395)",school
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,NA,color plate 9,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Van Heusen Seventeenth-Century Farms","c(-71.0721543774577, 42.5642454676204)",school
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Frances Shay Mague House","c(-71.0793101550267, 42.5620325332579)",school
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Weeks Memorial Library","c(-71.082273660044, 42.566922155738)",school
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> House near Route 28","c(-71.0745399514954, 42.5678271405711)",school
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Charles A. Smith House","c(-71.7056854739654, 42.6548168345657)",school
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Reed Mansion","c(-71.7046344601642, 42.66119684696)",school
